"","Rank","Name","Platform","Total_Shipped","Critic_Score","Year"
"1398",1398,"Mark of the Ninja","PC",1.56,9.3,2012
"1401",1401,"BioShock 2","PC",1.56,8.5,2010
"1412",1412,"Yoshi's Woolly World","WiiU",1.55,7.4,2015
"1420",1420,"Sonic the Hedgehog (2006)","X360",1.54,4.8,2006
"1424",1424,"Pokemon Ranger: Guardian Signs","DS",1.53,6.5,2010
"1425",1425,"SoulCalibur IV","X360",1.53,8.3,2008
"1427",1427,"Xenoblade Chronicles 2","NS",1.53,8.2,2017
"1441",1441,"Mario Tennis Open","3DS",1.52,6.6,2012
"1442",1442,"Mario vs. Donkey Kong 2: March of the Minis","DS",1.52,7.7,2006
"1459",1459,"Kirby: Planet Robobot","3DS",1.51,7.7,2016
"1477",1477,"Crysis: Warhead","PC",1.5,8.4,2008
"1478",1478,"Dirge of Cerberus: Final Fantasy VII","PS2",1.5,5.7,2006
"1482",1482,"Octopath Traveler","NS",1.5,8.1,2018
"1485",1485,"Sonic Colors","DS",1.5,8.2,2010
"1486",1486,"SoulCalibur II","PS2",1.5,9.1,2003
"1500",1500,"Banjo-Tooie","N64",1.49,9.3,2000
"1501",1501,"Pokemon Mystery Dungeon: Explorers of Sky","DS",1.49,5.7,2009
"1510",1510,"Final Fight","SNES",1.48,10,1991
"1512",1512,"Professor Layton and the Mask of Miracle","3DS",1.48,8.4,2012
"1513",1513,"SoulCalibur IV","PS3",1.48,8.4,2008
"1527",1527,"Kirby & the Amazing Mirror","GBA",1.47,7.9,2004
"1528",1528,"Mario Golf","N64",1.47,9,1999
"1557",1557,"Resident Evil Outbreak","PS2",1.45,7.1,2004
"1580",1580,"The Legend of Zelda: Twilight Princess","GC",1.43,9.5,2006
"1589",1589,"Pokemon XD: Gale of Darkness","GC",1.42,6.9,2005
"1591",1591,"Sonic Heroes","GC",1.42,7.2,2004
"1592",1592,"Super Metroid","SNES",1.42,8,1994
"1604",1604,"Metroid Prime 3: Corruption","Wii",1.41,9,2007
"1605",1605,"Style Savvy: Fashion Forward","3DS",1.41,6.5,2016
"1619",1619,"Bravely Default: Flying Fairy","3DS",1.4,8.2,2014
"1623",1623,"Pokemon Rumble Blast","3DS",1.4,5.3,2011
"1624",1624,"Resident Evil - Code: Veronica X","PS2",1.4,8.4,2001
"1625",1625,"Star Ocean: Till The End of Time","PS2",1.4,7.8,2004
"1636",1636,"Ace Combat 6: Fires of Liberation","X360",1.39,8.1,2007
"1662",1662,"Paper Mario","N64",1.37,9.1,2001
"1665",1665,"Pokemon Mystery Dungeon: Gates to Infinity","3DS",1.37,5.9,2013
"1667",1667,"Age of Mythology","PC",1.37,8.8,2002
"1693",1693,"Captain Toad: Treasure Tracker","WiiU",1.35,7.7,2014
"1694",1694,"Kirby Air Ride","GC",1.35,6.4,2003
"1696",1696,"Resident Evil","GC",1.35,8.9,2002
"1697",1697,"Shadow The Hedgehog","PS2",1.35,4.8,2005
"1723",1723,"Kid Icarus: Uprising","3DS",1.33,8,2012
"1769",1769,"Devil May Cry 3: Dante's Awakening","PS2",1.3,8.6,2005
"1772",1772,"Final Fantasy: Crystal Chronicles","GC",1.3,7.7,2004
"1773",1773,"Kingdom Hearts 3D: Dream Drop Distance","3DS",1.3,7.5,2012
"1774",1774,"Monster Hunter Freedom","PSP",1.3,7,2006
"1775",1775,"Resident Evil: The Umbrella Chronicles","Wii",1.3,7.5,2007
"1777",1777,"SaGa Frontier","PS",1.3,8,1998
"1778",1778,"Super Street Fighter IV: 3D Edition","3DS",1.3,8.5,2011
"1780",1780,"Xenogears","PS",1.3,7.8,1998
"1784",1784,"Scribblenauts: Unlimited","PC",1.3,8.8,2012
"1794",1794,"BioShock","PC",1.29,9.6,2007
"1822",1822,"Mario Golf: Toadstool Tour","GC",1.27,8.1,2003
"1849",1849,"Dark Souls","X360",1.25,9.1,2011
"1850",1850,"Dead or Alive 4","X360",1.25,8.6,2005
"1853",1853,"Pikmin 3","WiiU",1.25,8.7,2013
"1855",1855,"Resident Evil Zero","GC",1.25,8.2,2002
"1888",1888,"Aliens vs Predator","PC",1.23,6.2,2010
"1893",1893,"The Legend of Zelda: Tri Force Heroes","3DS",1.23,7.4,2015
"1900",1900,"Kirby: Mass Attack","DS",1.22,8.4,2011
"1920",1920,"Super Monkey Ball: Banana Blitz","Wii",1.21,7.3,2006
"1937",1937,"Dino Crisis 2","PS",1.2,8.8,2000
"1941",1941,"Final Fantasy","NES",1.2,8.5,1990
"1942",1942,"Final Fantasy IV","DS",1.2,8.5,2008
"1946",1946,"Ninja Gaiden","XB",1.2,9.4,2004
"1947",1947,"Parasite Eve II","PS",1.2,7.4,2000
